year,month,str
1959,10,135.4499969
1959,9,146.1600037
1960,4,149.5
1960,8,36.91999817
1960,12,149.5
1960,2,149.5
1960,1,149.5
1960,7,44.33000183
1960,6,74.83000183
1960,3,149.5
1960,5,149.5
1960,11,149.5
1960,10,55.72000122
1960,9,33.41999817
1961,4,149.5
1961,8,62.56000137
1961,12,149.5
1961,2,149.5
1961,1,149.5
1961,7,45.61000061
1961,6,96.76000214
1961,3,149.5
1961,5,149.5
1961,11,149.5
1961,10,129.9799957
1961,9,61.47999954
1962,4,149.5
1962,8,52.95999908
1962,12,149.5
1962,2,149.5
1962,1,149.5
1962,7,44.97999954
1962,6,80.73000336
1962,3,149.5
1962,5,149.5
1962,11,149.5
1962,10,149.5
1962,9,57.31999969
1963,4,149.5
1963,8,39.77000046
1963,12,149.5
1963,2,149.5
1963,1,149.5
1963,7,45.70999908
1963,6,91.59999847
1963,3,149.5
1963,5,149.5
1963,11,149.5
1963,10,149.5
1963,9,66.22000122
1964,4,149.5
1964,8,40.49000168
1964,12,149.5
1964,2,149.5
1964,1,149.5
1964,7,46.58000183
1964,6,115.0999985
1964,3,149.5
1964,5,149.5
1964,11,149.5
1964,10,90.18000031
1964,9,44.00999832
1965,4,149.5
1965,8,108.7699966
1965,12,149.5
1965,2,149.5
1965,1,149.5
1965,7,45.72000122
1965,6,93.52999878
1965,3,149.5
1965,5,149.5
1965,11,149.5
1965,10,101.0999985
1965,9,87.16999817
1966,4,149.5
1966,8,31.92000008
1966,12,149.5
1966,2,149.5
1966,1,149.5
1966,7,39.45000076
1966,6,47.11999893
1966,3,149.5
1966,5,108.6399994
1966,11,149.5
1966,10,25.45999908
1966,9,28.87999916
1967,4,149.5
1967,8,45.09999847
1967,12,149.5
1967,2,149.5
1967,1,149.5
1967,7,61.81999969
1967,6,143.5800018
1967,3,149.5
1967,5,149.5
1967,11,149.5
1967,10,132.5
1967,9,65.01000214
1968,4,149.5
1968,8,105.0800018
1968,12,149.5
1968,2,149.5
1968,1,149.5
1968,7,44.36000061
1968,6,72.86000061
1968,3,149.5
1968,5,123.9700012
1968,11,149.5
1968,10,149.5
1968,9,70.98999786
1969,4,149.5
1969,8,45.45000076
1969,12,149.5
1969,2,146.0500031
1969,1,149.5
1969,7,69.87000275
1969,6,149.5
1969,3,149.5
1969,5,149.5
1969,11,149.5
1969,10,149.5
1969,9,41.63000107
1970,4,149.5
1970,8,37.77000046
1970,12,149.5
1970,2,149.5
1970,1,149.5
1970,7,45.27000046
1970,6,92.72000122
1970,3,149.5
1970,5,149.5
1970,11,149.5
1970,10,124.9400024
1970,9,34.84999847
1971,4,149.5
1971,8,43.20999908
1971,12,149.5
1971,2,149.5
1971,1,149.5
1971,7,46.5
1971,6,113.7399979
1971,3,149.5
1971,5,149.5
1971,11,149.5
1971,10,94.91000366
1971,9,67.83999634
1972,4,149.5
1972,8,39.24000168
1972,12,149.5
1972,2,149.5
1972,1,149.5
1972,7,44.31000137
1972,6,70.25
1972,3,149.5
1972,5,117.5800018
1972,11,149.5
1972,10,149.5
1972,9,111.5199966
1973,4,149.5
1973,8,58.40999985
1973,12,149.5
1973,2,149.5
1973,1,149.5
1973,7,45.06999969
1973,6,84.02999878
1973,3,149.5
1973,5,149.5
1973,11,149.5
1973,10,149.5
1973,9,101.5
1974,4,149.5
1974,8,59.90000153
1974,12,149.5
1974,2,149.5
1974,1,149.5
1974,7,120.5299988
1974,6,85.94999695
1974,3,149.5
1974,5,149.5
1974,11,149.5
1974,10,125.0999985
1974,9,46.68999863
1975,4,149.5
1975,8,100.3099976
1975,12,149.5
1975,2,149.5
1975,1,149.5
1975,7,46.09999847
1975,6,98.95999908
1975,3,149.5
1975,5,149.5
1975,11,149.5
1975,10,149.5
1975,9,68.43000031
1976,4,149.5
1976,8,123.0800018
1976,12,149.5
1976,2,149.5
1976,1,149.5
1976,7,39.11999893
1976,6,46.91999817
1976,3,149.5
1976,5,89.83999634
1976,11,149.5
1976,10,116.6399994
1976,9,107.9400024
1977,4,123.3700027
1977,8,43.49000168
1977,12,149.5
1977,2,149.5
1977,1,149.5
1977,7,45
1977,6,80.87999725
1977,3,149.5
1977,5,149.5
1977,11,149.5
1977,10,86.73000336
1977,9,81.86000061
1978,4,149.5
1978,8,54.54000092
1978,12,149.5
1978,2,149.5
1978,1,149.5
1978,7,45.41999817
1978,6,89.80999756
1978,3,149.5
1978,5,149.5
1978,11,149.5
1978,10,137.9199982
1978,9,149.5
1979,4,149.5
1979,8,56.15999985
1979,12,149.5
1979,2,149.5
1979,1,149.5
1979,7,45.56000137
1979,6,82.08000183
1979,3,149.5
1979,5,149.5
1979,11,149.5
1979,10,149.5
1979,9,46.68999863
1980,4,149.5
1980,8,41.63000107
1980,12,149.5
1980,2,149.5
1980,1,149.5
1980,7,47.38999939
1980,6,106.4899979
1980,3,149.5
1980,5,149.5
1980,11,127.1800003
1980,10,78.79000092
