year,month,tmn
1970,2,-0.079999998
1970,1,-0.550000012
1970,7,14.30000019
1970,6,9.399999619
1970,3,-0.349999994
1970,5,5.889999866
1970,11,2.279999971
1970,10,4.840000153
1970,9,8.899999619
1971,4,-0.159999996
1971,8,13.97000027
1971,12,-5.260000229
1971,2,-2.160000086
1971,1,-2.029999971
1971,7,13.27999973
1971,6,7.440000057
1971,3,-2
1971,5,3.039999962
1971,11,-0.090000004
1971,10,2.880000114
1971,9,8.039999962
1972,4,0.25999999
1972,8,11.19999981
1972,12,-4.400000095
1972,2,-1.100000024
1972,1,-3.640000105
1972,7,11.93000031
1972,6,9.010000229
1972,3,1.559999943
1972,5,5.159999847
1972,11,0.01
1972,10,4.050000191
1972,9,7.409999847
1973,4,0.75
1973,8,11.27000046
1973,12,-0.970000029
1973,2,-1.129999995
1973,1,-3.710000038
1973,7,12.68000031
1973,6,10.28999996
1973,3,-3
1973,5,6.119999886
1973,11,-0.670000017
1973,10,3.809999943
1973,9,7.480000019
1974,4,-0.029999999
1974,8,11.47999954
1974,12,-1.409999967
1974,2,-2.950000048
1974,1,-2.609999895
1974,7,11.53999996
1974,6,9.770000458
1974,3,-0.119999997
1974,5,4.550000191
1974,11,2.109999895
1974,10,6.010000229
1974,9,10.39000034
1975,4,-2.970000029
1975,8,10.63000011
1975,12,0.469999999
1975,2,-2.140000105
1975,1,-2.190000057
1975,7,11.72999954
1975,6,8.840000153
1975,3,-2.140000105
1975,5,4.789999962
1975,11,0.02
1975,10,3.710000038
1975,9,11.52999973
1976,4,-0.600000024
1976,8,9.350000381
1976,12,0.430000007
1976,2,-1.570000052
1976,1,-0.670000017
1976,7,11.86999989
1976,6,7.380000114
1976,3,-2.50999999
1976,5,6.039999962
1976,11,4.639999866
1976,10,5.460000038
1976,9,9.130000114
1977,4,3.400000095
1977,8,12.47999954
1977,12,0.310000002
1977,2,0.129999995
1977,1,-2.140000105
1977,7,11.51000023
1977,6,11.64000034
1977,3,-3.269999981
1977,5,1.340000033
1977,11,1.070000052
1977,10,5.860000134
1977,9,8.260000229
1978,4,0.150000006
1978,8,11.52999973
1978,12,-3.890000105
1978,2,-1.179999948
1978,1,-0.560000002
1978,7,11.94999981
1978,6,8.119999886
1978,3,1.940000057
1978,5,4.630000114
1978,11,-0.75
1978,10,7.820000172
1978,9,7.579999924
1979,4,0.25999999
1979,8,10.77999973
1979,12,-0.409999996
1979,2,-3.059999943
1979,1,-3.99000001
1979,7,11.18000031
1979,6,7.389999866
1979,3,-0.170000002
1979,5,5.980000019
1979,11,0.170000002
1979,10,5.079999924
1979,9,9.960000038
1980,4,1.75999999
1980,8,10.77000046
1980,12,0.939999998
1980,2,0.079999998
1980,1,-0.529999971
1980,7,11.85999966
1980,6,6.440000057
1980,3,-2.420000076
1980,5,3.690000057
1980,11,2.549999952
1980,10,7.179999828
1980,9,9.329999924
1981,4,3.019999981
1981,8,12.98999977
1981,12,0.800000012
1981,2,-1.210000038
1981,1,0.090000004
1981,7,12.85999966
1981,6,10.98999977
1981,3,-0.959999979
1981,5,5.289999962
1981,11,2.779999971
1981,10,3.069999933
1981,9,9.359999657
1982,4,-0.50999999
1982,8,11.31999969
1982,12,-3.089999914
1982,2,-1.769999981
1982,1,-4.099999905
1982,7,11.23999977
1982,6,7.570000172
1982,3,-1.919999957
1982,5,5.96999979
1982,11,-0.74000001
1982,10,3.920000076
1982,9,7.260000229
1983,4,-1.889999986
1983,8,12.38000011
1983,12,-0.670000017
1983,2,-1.820000052
1983,1,-1.779999971
1983,7,9.529999733
1983,6,7.730000019
1983,3,-1.570000052
1983,5,3.779999971
1983,11,0.469999999
1983,10,6.420000076
1983,9,9.550000191
1984,4,0.090000004
1984,8,12.76000023
1984,12,-3.650000095
1984,2,-1.879999995
1984,1,-1.690000057
1984,7,14.05000019
1984,6,8.729999542
1984,3,0.540000021
1984,5,6.289999962
1984,11,-0.330000013
1984,10,3.170000076
1984,9,10.80000019
1985,4,3.789999962
1985,8,11.22999954
1985,12,-1.710000038
1985,2,-1.549999952
1985,1,-1.620000005
1985,7,14.64999962
1985,6,11.30000019
1985,3,-2.859999895
1985,5,4.679999828
1985,11,-1.309999943
1985,10,5.130000114
1985,9,7.070000172
1986,4,1.340000033
1986,8,14.31000042
1986,12,-0.360000014
1986,2,0.209999993
1986,1,1.480000019
1986,7,11.5
1986,6,10.34000015
1986,3,2.24000001
1986,5,4.71999979
1986,11,2.24000001
1986,10,5.130000114
1986,9,6.320000172
1987,4,4.340000153
1987,8,12.40999985
1987,12,-3.089999914
1987,2,-1.610000014
1987,1,-3.339999914
1987,7,10.40999985
1987,6,10.5
1987,3,-1
1987,5,6.75
1987,11,1.080000043
1987,10,8.710000038
1987,9,10.09000015
1988,4,2.720000029
1988,8,14.28999996
1988,12,-2.210000038
1988,2,0.379999995
1988,1,-1.919999957
1988,7,14.44999981
1988,6,8.880000114
1988,3,0.25999999
1988,5,3.769999981
1988,11,1.220000029
1988,10,9.289999962
1988,9,10.36999989
1989,4,2.869999886
1989,8,10.35999966
1989,12,0.469999999
1989,2,-3.700000048
1989,1,-3.849999905
1989,7,13.06000042
1989,6,9.770000458
1989,3,0.340000004
1989,5,4.710000038
1989,11,1.700000048
1989,10,5.429999828
1989,9,8.720000267
1990,4,4.349999905
1990,8,12.39000034
1990,12,-4.690000057
1990,2,-4.670000076
1990,1,-2.319999933
1990,7,13.98999977
1990,6,8.56000042
1990,3,0.140000001
1990,5,4.820000172
1990,11,1.080000043
1990,10,7
1990,9,9.800000191
1991,4,-0.129999995
1991,8,11.44999981
1991,12,-0.850000024
1991,2,2.140000105
1991,1,-1.190000057
1991,7,14.21000004
1991,6,7.150000095
1991,3,-2.890000105
1991,5,2.480000019
1991,11,1.820000052
1991,10,8.550000191
1991,9,12.72000027
1992,4,4.21999979
1992,8,13.65999985
1992,12,-3.119999886
1992,2,0.889999986
1992,1,-1.190000057
1992,7,11.01000023
1992,6,9.449999809
1992,3,0.829999983
1992,5,8.819999695
1992,11,1.110000014
1992,10,7.269999981
1992,9,10.32999992
1993,4,1.169999957
1993,8,11.80000019
1993,12,-1.970000029
1993,2,-2.5
1993,1,-3.839999914
1993,7,11.89999962
1993,6,8.090000153
1993,3,1.610000014
1993,5,5.170000076
1993,11,0.970000029
1993,10,5.900000095
1993,9,9.739999771
1994,4,2.25999999
1994,8,14.44999981
1994,12,-1.50999999
1994,2,-2.779999971
1994,1,-0.550000012
1994,7,14.69999981
1994,6,9.229999542
1994,3,1.120000005
1994,5,5.679999828
1994,11,-2.329999924
1994,10,4.809999943
1994,9,10.47999954
1995,4,0.5
1995,8,13.75
1995,12,0.050000001
1995,2,2.819999933
1995,1,-0.569999993
1995,7,11.78999996
1995,6,7.820000172
1995,3,-1.120000005
1995,5,4.059999943
1995,11,4.070000172
1995,10,6.230000019
1995,9,11.97000027
1996,4,2.059999943
1996,8,15.38000011
1996,12,0.699999988
1996,2,0.810000002
1996,1,-0.289999992
1996,7,15.13000011
1996,6,10.05000019
1996,3,-0.180000007
1996,5,5.420000076
1996,11,2.920000076
1996,10,5.860000134
1996,9,10.38000011
1997,4,2.029999971
1997,8,13.02000046
1997,12,-1.519999981
1997,2,-1.110000014
1997,1,-1.049999952
1997,7,12.86999989
1997,6,9.199999809
1997,3,1.320000052
1997,5,7.909999847
1997,11,2.619999886
1997,10,4.510000229
1997,9,10.39000034
1998,4,0.180000007
1998,8,14.98999977
1998,12,-2.630000114
1998,2,-2.289999962
1998,1,-0.769999981
1998,7,13.78999996
1998,6,8.039999962
1998,3,-0.479999989
1998,5,1.590000033
1998,11,0.310000002
1998,10,4.460000038
1998,9,11.10000038
1999,4,0.25
1999,8,12.31999969
1999,12,0.400000006
1999,2,-2.460000038
1999,1,-0.219999999
1999,7,12.10999966
1999,6,8.399999619
1999,3,-1.649999976
