year,month,ppt
1965,3,113.4800034
1965,5,16.18000031
1965,11,331.1499939
1965,10,23.36000061
1965,9,13.53999996
1966,4,91.52999878
1966,8,0
1966,12,316.9299927
1966,2,138.3800049
1966,1,183.6999969
1966,7,0.720000029
1966,6,2.089999914
1966,3,100.6900024
1966,5,24.10000038
1966,11,431.8599854
1966,10,0
1966,9,2.390000105
1967,4,303.2399902
1967,8,5.190000057
1967,12,239.0700073
1967,2,44.38999939
1967,1,513.5499878
1967,7,0
1967,6,87.27999878
1967,3,372.0299988
1967,5,60.84999847
1967,11,129.9199982
1967,10,72.5
1967,9,19.90999985
1968,4,15.5
1968,8,60.72000122
1968,12,356.9100037
1968,2,275.6600037
1968,1,308.2900085
1968,7,0.029999999
1968,6,18.82999992
1968,3,168.9400024
1968,5,34.43000031
1968,11,233
1968,10,133.5
1968,9,2.349999905
1969,4,137.6199951
1969,8,0
1969,12,497.8800049
1969,2,425.1700134
1969,1,846.4299927
1969,7,1.049999952
1969,6,26.10000038
1969,3,89.76000214
1969,5,5.760000229
1969,11,94.20999908
1969,10,141.3800049
1969,9,1.75
1970,4,77.43000031
1970,8,0
1970,12,509.7200012
1970,2,114.2699966
1970,1,846.5
1970,7,0
1970,6,40.43999863
1970,3,143.6199951
1970,5,16.80999947
1970,11,452.4100037
1970,10,90.08999634
1970,9,2.50999999
1971,4,94.81999969
1971,8,4.25
1971,12,349.2099915
1971,2,41.61999893
1971,1,202.3500061
1971,7,1.460000038
1971,6,57.75
1971,3,299.230011
1971,5,73.09999847
1971,11,178.8099976
1971,10,34.47000122
1971,9,24.62999916
1972,4,177.8300018
1972,8,2.289999962
1972,12,246.5700073
1972,2,225.4400024
1972,1,151.6199951
1972,7,0
1972,6,21.46999931
1972,3,106.5500031
1972,5,28.30999947
1972,11,295.3299866
1972,10,122.5500031
1972,9,72.27999878
1973,4,42.00999832
1973,8,13.34000015
1973,12,369.5899963
1973,2,314.7999878
1973,1,509.9500122
1973,7,2.130000114
1973,6,6.860000134
1973,3,181.6999969
1973,5,24.51000023
1973,11,685.0700073
1973,10,133.7400055
1973,9,56.86999893
1974,4,167.0899963
1974,8,3.789999962
1974,12,132.8800049
1974,2,164.1799927
1974,1,345.1799927
1974,7,121.75
1974,6,9.090000153
1974,3,508.3599854
1974,5,4.869999886
1974,11,100.6100006
1974,10,78.41000366
1974,9,0
1975,4,194.0700073
1975,8,54.20999908
1975,12,64.44000244
1975,2,490.9500122
1975,1,148.8999939
1975,7,3.819999933
1975,6,19.98999977
1975,3,406.730011
1975,5,36.95999908
1975,11,104.8399963
1975,10,250.3099976
1975,9,5.059999943
1976,4,70
1976,8,83.95999908
1976,12,8.079999924
1976,2,148.4299927
1976,1,31.30999947
1976,7,0.74000001
1976,6,13.26000023
1976,3,101.0199966
1976,5,4.110000134
1976,11,62.52000046
1976,10,19.06999969
1976,9,36.84999847
1977,4,13.22000027
1977,8,5.929999828
1977,12,456.0299988
1977,2,104.2699966
1977,1,118.5699997
1977,7,2.059999943
1977,6,4.96999979
1977,3,93.66000366
1977,5,139.5700073
1977,11,171.4100037
1977,10,13.23999977
1977,9,38.36999893
1978,4,311.0799866
1978,8,9.119999886
1978,12,85.58999634
1978,2,263.2399902
1978,1,584.5200195
1978,7,0.699999988
1978,6,9.760000229
1978,3,326.6499939
1978,5,45.36999893
1978,11,141.7100067
1978,10,0
1978,9,117.9100037
1979,4,132.1199951
1979,8,10.60000038
1979,12,268.2900085
1979,2,375.6099854
1979,1,316.0599976
1979,7,10.10000038
1979,6,2.75
1979,3,233.25
1979,5,98.76999664
1979,11,182.8800049
1979,10,190.8099976
1979,9,2.190000057
1980,4,112.6299973
1980,8,1.470000029
1980,12,141.2400055
1980,2,504.269989
1980,1,640.5599976
1980,7,22.86000061
1980,6,23.42000008
1980,3,163.5399933
1980,5,94.15000153
1980,11,56.91999817
1980,10,40.84999847
1980,9,1.75
1981,4,53.66999817
1981,8,0
1981,12,578.8099976
1981,2,135.9900055
1981,1,343.0100098
1981,7,0
1981,6,1.75
1981,3,248.9900055
1981,5,81.73000336
1981,11,594.9099731
1981,10,220.0899963
1981,9,32.68999863
1982,4,399.5799866
1982,8,2.519999981
1982,12,345.269989
1982,2,288.1000061
1982,1,325.1499939
1982,7,7.289999962
1982,6,32.84000015
1982,3,453.4299927
1982,5,9.279999733
1982,11,358.4299927
1982,10,260.1199951
1982,9,121.4700012
1983,4,239.0099945
1983,8,12.10000038
1983,12,617.4099731
1983,2,492.6000061
1983,1,315.9700012
1983,7,12.21000004
1983,6,26.98999977
1983,3,594.460022
1983,5,52.70999908
1983,11,650.7199707
1983,10,130.1999969
1983,9,65.90000153
1984,4,128.8000031
1984,8,10.22999954
1984,12,93.36000061
1984,2,242.9600067
1984,1,18.18000031
1984,7,5.46999979
1984,6,52.5
1984,3,163.3300018
1984,5,50.47999954
1984,11,415.3200073
1984,10,135.6199951
1984,9,7.170000076
1985,4,32.22999954
1985,8,7.039999962
1985,12,186.1199951
1985,2,171.6300049
1985,1,42.81000137
1985,7,2.680000067
1985,6,11.98999977
1985,3,284.6600037
1985,5,4.559999943
1985,11,299.1900024
1985,10,59.43999863
1985,9,69.66999817
1986,4,57.79000092
1986,8,0
1986,12,47.16999817
1986,2,954.6699829
1986,1,267.0799866
1986,7,1.669999957
1986,6,0.330000013
1986,3,373.2799988
1986,5,55.99000168
1986,11,28.22999954
1986,10,22.93000031
1986,9,181.8300018
1987,4,15.86999989
1987,8,0.01
1987,12,417.730011
1987,2,223.7899933
1987,1,195
1987,7,5.539999962
1987,6,6.599999905
1987,3,233.25
1987,5,63.75
1987,11,103.3300018
1987,10,50.77999878
1987,9,0.119999997
1988,4,136.2700043
1988,8,0
1988,12,203.9499969
1988,2,13.15999985
1988,1,271.6300049
1988,7,5.010000229
1988,6,34.68999863
1988,3,54.34999847
1988,5,75.16000366
1988,11,466.4899902
1988,10,1.669999957
1988,9,5.550000191
1989,4,99.70999908
1989,8,31.95999908
1989,12,0.050000001
1989,2,157.4400024
1989,1,116.9000015
1989,7,0
1989,6,19.42000008
1989,3,614.1799927
1989,5,34.43000031
1989,11,139.9499969
1989,10,216.8899994
1989,9,94.58000183
1990,4,72.05000305
1990,8,4.239999771
1990,12,59.90000153
1990,2,190.6499939
1990,1,255.9100037
1990,7,5.659999847
1990,6,8.119999886
1990,3,125.1900024
1990,5,217.5500031
1990,11,62.5
1990,10,20.45000076
1990,9,21.73999977
1991,4,78.77999878
1991,8,16.81999969
1991,12,124.4599991
1991,2,90.34999847
1991,1,29.98999977
1991,7,2.970000029
1991,6,54
1991,3,679.5200195
1991,5,119.0899963
1991,11,108.3000031
1991,10,139.4900055
1991,9,4.039999962
1992,4,68.13999939
1992,8,1.340000033
1992,12,438.6099854
1992,2,390.2200012
1992,1,71.73000336
1992,7,4.829999924
1992,6,77.16999817
1992,3,148.4799957
1992,5,4.949999809
1992,11,42.31000137
1992,10,182.7899933
1992,9,0.810000002
1993,4,114.4400024
1993,8,12.84000015
1993,12,213.3399963
1993,2,372.5400085
1993,1,555.5300293
1993,7,0
1993,6,91.94000244
1993,3,234.3699951
1993,5,92.26999664
1993,11,112.7300034
1993,10,75.77999878
1993,9,1.710000038
1994,4,102.4400024
1994,8,0
1994,12,334.2999878
1994,2,286.4100037
1994,1,91.5
1994,7,0
1994,6,6.239999771
1994,3,44.11000061
1994,5,61.97000122
1994,11,364.2799988
1994,10,27.14999962
1994,9,27.32999992
1995,4,276.4599915
1995,8,0.01
1995,12,434.6700134
1995,2,66.02999878
1995,1,831.4099731
1995,7,3.329999924
1995,6,75.69000244
1995,3,778.5200195
1995,5,177.0299988
1995,11,32.68999863
1995,10,0
1995,9,0
1996,4,210.8699951
1996,8,1.220000029
1996,12,980.1799927
1996,2,464.769989
1996,1,457.5899963
1996,7,5.150000095
1996,6,11.94999981
1996,3,220.5899963
1996,5,284.519989
1996,11,280.5400085
1996,10,66.56999969
1996,9,30.30999947
1997,4,75.98999786
1997,8,15.90999985
1997,12,134.6600037
1997,2,45.59000015
1997,1,794.0900269
1997,7,3.920000076
1997,6,61.66999817
1997,3,75.80999756
1997,5,34.45999908
1997,11,239.8200073
1997,10,106.6500015
1997,9,15.43999958
1998,4,202.0500031
1998,8,0.839999974
1998,12,183.9600067
1998,2,603.0700073
1998,1,566.4799805
1998,7,0.660000026
1998,6,34.88000107
1998,3,208.1699982
1998,5,212.5
1998,11,364.1900024
1998,10,43.52999878
1998,9,54.56999969
1999,4,115.7200012
1999,8,10.18999958
1999,12,72.58000183
1999,2,525.6199951
1999,1,366.25
1999,7,3.079999924
1999,6,12.31999969
1999,3,153.5599976
1999,5,56.13999939
1999,11,156.0500031
1999,10,80.11000061
1999,9,2.299999952
2000,4,92.55000305
2000,8,0
