year,month,cwd
1944,11,22.45000076
1944,10,68.80000305
1944,9,113.4000015
1945,4,57.77000046
1945,8,147.3000031
1945,12,15.28999996
1945,2,20.01000023
1945,1,15.92000008
1945,7,121.75
1945,6,59.16999817
1945,3,22.23999977
1945,5,58.25
1945,11,22.17000008
1945,10,67.59999847
1945,9,111.5
1946,4,59.18000031
1946,8,149.8999939
1946,12,17.31999969
1946,2,21.17000008
1946,1,15.46000004
1946,7,147.1999969
1946,6,84.19999695
1946,3,32.50999832
1946,5,72.69999695
1946,11,22.82999992
1946,10,58.70999908
1946,9,108.1999969
1947,4,60.09999847
1947,8,138.6000061
1947,12,16.52000046
1947,2,24.43000031
1947,1,15.30000019
1947,7,105.0199966
1947,6,64.87000275
1947,3,28.18000031
1947,5,77.34999847
1947,11,23.87000084
1947,10,64
1947,9,109.8000031
1948,4,39.29999924
1948,8,143.8999939
1948,12,14.39999962
1948,2,20.79999924
1948,1,16.93000031
1948,7,126.2200012
1948,6,84.19999695
1948,3,28.12999916
1948,5,45.58000183
1948,11,29
1948,10,67.30000305
1948,9,109.5999985
1949,4,60.45999908
1949,8,143.1999969
1949,12,16.07999992
1949,2,19.67000008
1949,1,12.11999989
1949,7,146.4499969
1949,6,87.83000183
1949,3,24.20999908
1949,5,70.69999695
1949,11,31.81999969
1949,10,65.90000153
1949,9,99.73000336
1950,4,53.50999832
1950,8,150.6000061
1950,12,17.29999924
1950,2,23.14999962
1950,1,11.30000019
1950,7,129.3200073
1950,6,84.30999756
1950,3,30
1950,5,60.47999954
1950,11,25.37000084
1950,10,63.56999969
1950,9,107.9000015
1951,4,59.84999847
1951,8,147.1999969
1951,12,14.27999973
1951,2,22.01000023
1951,1,13.10000038
1951,7,147.3699951
1951,6,88.33000183
1951,3,32.74000168
1951,5,65.19000244
1951,11,23.80999947
1951,10,64.09999847
1951,9,113.5999985
1952,4,57.70999908
1952,8,143
1952,12,14.96000004
1952,2,19.04000092
1952,1,11.77999973
1952,7,62.04999924
1952,6,55.93000031
1952,3,20.53000069
1952,5,72.91999817
1952,11,27.03000069
1952,10,66.43000031
1952,9,110.8000031
1953,4,42.36999893
1953,8,142.8000031
1953,12,17.5
1953,2,23.37000084
1953,1,14.68999958
1953,7,119.2300034
1953,6,54.79000092
1953,3,32.56999969
1953,5,43.70000076
1953,11,25.65999985
1953,10,65.80000305
1953,9,114
1954,4,46.13999939
1954,8,140.3000031
1954,12,16.26000023
1954,2,24.79999924
1954,1,14.73999977
1954,7,157.8500061
1954,6,67.97000122
1954,3,26.14999962
1954,5,75.23999786
1954,11,27.96999931
1954,10,61.00999832
1954,9,105.9499969
1955,4,38.68999863
1955,8,151.6000061
1955,12,15.28999996
1955,2,21.25
1955,1,13.89999962
1955,7,126.4300003
1955,6,84.63999939
1955,3,32.22999954
1955,5,71.29000092
1955,11,25.48999977
1955,10,65.58999634
1955,9,110.5
1956,4,56.25
1956,8,144.5
1956,12,17.13999939
1956,2,19.69000053
1956,1,13.17000008
1956,7,69.48000336
1956,6,85.91000366
1956,3,33.13000107
