year,month,tmx
1977,4,17.45999908
1977,8,28.70000076
1977,12,9.270000458
1977,2,13.28999996
1977,1,9.43999958
1977,7,28.5
1977,6,25.70000076
1977,3,9.079999924
1977,5,12.27000046
1977,11,12.53999996
1977,10,19.97999954
1977,9,22.30999947
1978,4,10.89000034
1978,8,27.56999969
1978,12,7.650000095
1978,2,8.289999962
1978,1,7.429999828
1978,7,27.45999908
1978,6,23.04000092
1978,3,12.64999962
1978,5,19.29999924
1978,11,10.42000008
1978,10,22.56999969
1978,9,21.45000076
1979,4,13.25
1979,8,25.04999924
1979,12,11.02000046
1979,2,6.78000021
1979,1,6.039999962
1979,7,27.37999916
1979,6,24.85000038
1979,3,11.11999989
1979,5,20.46999931
1979,11,11.07999992
1979,10,18.12999916
1979,9,27.30999947
1980,4,14.77999973
1980,8,27.09000015
1980,12,12.60000038
1980,2,10.10000038
1980,1,8.649999619
1980,7,27.17000008
1980,6,20.51000023
1980,3,9.710000038
1980,5,16.88999939
1980,11,13.88000011
1980,10,20.32999992
1980,9,24.30999947
1981,4,16.02000046
1981,8,29.88999939
1981,12,9.06000042
1981,2,10.38000011
1981,1,10.39000034
1981,7,29.02000046
1981,6,26.27000046
1981,3,9.770000458
1981,5,18.73999977
1981,11,11.42000008
1981,10,15.47999954
1981,9,26.34000015
1982,4,11.27000046
1982,8,28.11000061
1982,12,7.230000019
1982,2,9.859999657
1982,1,5.940000057
1982,7,25.75
1982,6,21.79000092
1982,3,7.489999771
1982,5,20.20999908
1982,11,9.159999847
1982,10,16.28000069
1982,9,22.30999947
1983,4,9.220000267
1983,8,26.10000038
1983,12,5.619999886
1983,2,7.920000076
1983,1,9.31000042
1983,7,24.17000008
1983,6,22.47999954
1983,3,7.269999981
1983,5,18.48999977
1983,11,8.380000114
1983,10,19.13999939
1983,9,25.19000053
1984,4,12.69999981
1984,8,28.62000084
1984,12,6.590000153
1984,2,10.47999954
1984,1,11.48999977
1984,7,30.04999924
1984,6,23.06999969
1984,3,12.88000011
1984,5,21.19000053
1984,11,7.820000172
1984,10,14.34000015
1984,9,26.5
1985,4,17.73999977
1985,8,27.15999985
1985,12,9.869999886
1985,2,9.930000305
1985,1,9.329999924
1985,7,29.13999939
1985,6,26.56999969
1985,3,8.510000229
1985,5,19.44000053
1985,11,8.460000038
1985,10,18.34000015
1985,9,19.86000061
1986,4,14.10999966
1986,8,29.72999954
1986,12,10.35999966
1986,2,8.670000076
1986,1,11.38000011
1986,7,26.27000046
1986,6,25.31999969
1986,3,13.17000008
1986,5,18.89999962
1986,11,14.51000023
1986,10,18.39999962
1986,9,19.13999939
1987,4,19.40999985
1987,8,29.09000015
1987,12,4.429999828
1987,2,8.819999695
1987,1,6.869999886
1987,7,25.23999977
1987,6,25.68000031
1987,3,9.5
1987,5,19.85000038
1987,11,11.60000038
1987,10,22.63999939
1987,9,26.84000015
1988,4,14.27999973
1988,8,29.02000046
1988,12,8.039999962
1988,2,13.60999966
1988,1,7.309999943
1988,7,30.04000092
1988,6,22.87000084
1988,3,13.60000038
1988,5,17.43000031
1988,11,8.75
1988,10,24.48999977
1988,9,26.69000053
1989,4,16.80999947
1989,8,25.70999908
1989,12,13.38000011
1989,2,5.949999809
1989,1,8.029999733
1989,7,27.76000023
1989,6,23.86000061
1989,3,9.460000038
1989,5,18.06999969
1989,11,14.78999996
1989,10,16.52000046
1989,9,23.43000031
1990,4,17.20999908
1990,8,26.73999977
1990,12,6.369999886
1990,2,6.800000191
1990,1,8.130000114
1990,7,27.84000015
1990,6,22.76000023
1990,3,12.06000042
1990,5,16.70999908
1990,11,13.35000038
1990,10,21.02000046
1990,9,24.84000015
1991,4,12.43999958
1991,8,26.05999947
1991,12,10
1991,2,14.31000042
1991,1,10.27999973
1991,7,27.79999924
1991,6,22.07999992
1991,3,5.599999905
1991,5,15.44999981
1991,11,13.47999954
1991,10,21.90999985
1991,9,27.62999916
1992,4,17.21999931
1992,8,29.37999916
1992,12,5.690000057
1992,2,9.020000458
1992,1,9.93999958
1992,7,25.56999969
1992,6,23.36000061
1992,3,11.42000008
1992,5,23.22999954
1992,11,12.17000008
