"","Run Index","Plate","Directory","SampleName","Plate Position","Rack #","Location","leaf_type","dried","3MSO_5.2","OH-Alkenyl_6","4MSO_7.1","Allyl_7.4","5MSO_10.2","Butenyl_12.1","Junk_13","3MT_13.6","MSOO_13.8","OH I3M_15.1","4MT _15.5","Flavonol_16.1","I3M_16.7","Flavonol_17.5","Flavonol_18.5","Junk_18.7","Indole_18.8","Population","mf","treatment","biomass","Elevation","Lat","Long","Seed.year"
"104",6,3,"007-P1-F1-060.D","NA","P1-F-01","D3",8,"induced","y",48.03829,NA,40.8866,143.43022,NA,300.46194,NA,NA,NA,15.70026,NA,8.2824,24.97082,NA,19.5652,NA,NA,"TM2",10,"C",0.36,379.1526973,39.59255,-121.55072,2020
"105",8,3,"009-P1-H1-062.D","NA","P1-H-01","D3",9,"induced",NA,93.3073,NA,NA,394.95715,NA,NA,NA,58.18314,NA,NA,NA,14.12268,18.65785,7.46731,31.13729,NA,35.66153,"SC",18,"C",0.06,421.5178299,38.41167,-120.73583,2021
"106",10,3,"011-P1-B2-064.D","NA","P1-B-02","D3",10,"induced",NA,NA,NA,98.49654,33.15458,21.24043,1224.78943,10.31656,NA,121.0619,9.03993,15.46268,26.03828,423.74753,NA,40.36076,NA,NA,"LV2",4,"CW",0.19,2500.457178,40.46563,-121.51487,2018
"107",12,3,"013-P1-D2-066.D","NA","P1-D-02","D3",11,"induced",NA,18.15642,NA,27.9973,63.74068,NA,170.48378,NA,NA,NA,NA,NA,18.91762,175.02406,NA,20.62888,NA,NA,"TFC",2,"C",0.18,1085,39.42772,-120.93623,2021
"108",14,3,"015-P1-F2-068.D","NA","P1-F-02","D3",12,"induced","y",52.08759,NA,NA,377.57242,NA,27.89211,NA,25.51298,NA,NA,NA,13.48226,NA,NA,31.55418,NA,41.23057,"SC",7,"C",0.09,421.5178299,38.41167,-120.73583,2021
"109",16,3,"017-P1-H2-070.D","NA","P1-H-02","D3",13,"induced",NA,80.24964,NA,45.37529,119.64648,NA,192.77373,NA,39.63194,NA,NA,10.16531,10.19588,37.48035,NA,38.00765,NA,43.34654,"RB",12,"C",0.12,787,40.01362,-121.18498,2010
"110",18,3,"019-P1-B3-072.D","NA","P1-B-03","D3",14,"induced",NA,98.75298,NA,NA,813.05627,NA,NA,NA,96.84886,NA,47.73675,12.26046,7.58762,70.44525,NA,29.80596,NA,NA,"SC",20,"CW",0.17,421.5178299,38.41167,-120.73583,2021
"111",19,3,"020-P1-C3-073.D","NA","P1-C-03","D3",15,"induced",NA,NA,NA,NA,168.49442,NA,458.70181,NA,12.6022,NA,23.53554,10.9399,10.41641,39.56096,NA,25.10294,NA,NA,"TM2",5,"CW",0.08,379.1526973,39.59255,-121.55072,2020
"112",21,3,"022-P1-E3-075.D","NA","P1-E-03","D3",16,"induced","y",NA,NA,11.38918,NA,16.78142,288.27362,NA,NA,NA,18.49526,NA,12.47705,225.08507,NA,63.39824,NA,32.87956,"CP2",2,"CW",0.24,2244.132886,38.66169,-120.13065,2020
"113",23,3,"024-P1-G3-077.D","NA","P1-G-03","D3",17,"induced",NA,16.00326,NA,12.66993,138.14221,NA,307.74442,NA,NA,NA,NA,NA,14.45084,389.55069,NA,52.95395,NA,16.95569,"DPR",3,"CW",0.12,1018.591893,39.22846,-120.81518,2020
"114",26,3,"027-P1-B4-080.D","NA","P1-B-04","D3",18,"induced","y",NA,NA,NA,NA,NA,370.4628,NA,NA,NA,NA,NA,12.83112,31.47488,NA,24.39286,NA,6.15817,"YOSE8",5,"CW",0.16,2590.97836,37.81117,-119.48624,2020
"115",27,3,"028-P1-C4-081.D","NA","P1-C-04","D3",19,"induced","y",31.84033,NA,13.29225,71.11479,NA,217.45586,NA,18.29088,NA,7.16474,NA,22.12364,165.94981,NA,53.74354,NA,42.90907,"CALO",1,"CW",0.16,1117.6,39.19494,-120.77055,2022
"116",29,3,"030-P1-E4-083.D","NA","P1-E-04","D3",20,"induced",NA,37.05444,NA,39.49047,48.1398,NA,138.83954,NA,NA,9.89365,188.76886,NA,16.46571,128.23106,52.82243,64.83763,NA,NA,"TFC",2,"CW",0.38,1085,39.42772,-120.93623,2021
"117",31,3,"032-P1-G4-085.D","NA","P1-G-04","D3",21,"induced",NA,23.99483,NA,22.29828,87.03352,NA,219.73209,NA,12.36876,NA,NA,NA,12.4117,38.94396,NA,28.17769,NA,NA,"DPR",10,"C",0.51,1018.591893,39.22846,-120.81518,2020
"118",33,3,"034-P1-A5-087.D","NA","P1-A-05","D3",22,"induced",NA,48.86951,NA,NA,193.35022,NA,61.54543,NA,24.12691,NA,9.76658,NA,NA,30.9251,NA,52.64734,NA,57.32676,"RB",12,"CW",0.26,787,40.01362,-121.18498,2010
"119",35,3,"036-P1-C5-089.D","NA","P1-C-05","D3",23,"induced","y",19.55698,NA,NA,93.97192,NA,162.83417,NA,36.10744,NA,NA,NA,20.51182,226.96419,NA,32.29014,NA,7.79443,"CALO",4,"C",0.15,1117.6,39.19494,-120.77055,2022
"120",37,3,"038-P1-E5-091.D","NA","P1-E-05","D3",24,"induced",NA,20.21799,NA,NA,926.49908,32.12833,15.49473,NA,NA,NA,NA,NA,23.98918,23.43798,NA,34.92746,NA,NA,"SQ1",5,"C",0.2,1921.036585,36.56435,-118.7764,2017
"121",39,3,"040-P1-G5-093.D","NA","P1-G-05","D3",25,"induced",NA,101.71136,NA,21.04375,607.53119,NA,452.87094,NA,28.90315,NA,52.6206,NA,NA,1036.76758,16.61243,65.40763,NA,11.04292,"LC",7,"CW",0.41,1362.3,39.31897,-120.65744,2022
"122",41,3,"042-P1-A6-095.D","NA","P1-A-06","D3",26,"induced",NA,NA,NA,37.96098,40.634,25.49934,1575.552,13.38324,82.17493,NA,40.90611,NA,42.81673,60.75003,NA,68.15504,NA,24.18946,"LV2",8,"CW",0.11,2500.457178,40.46563,-121.51487,2018
"123",43,3,"044-P1-C6-097.D","NA","P1-C-06","D3",27,"induced","y",54.01649,NA,NA,1142.42798,NA,33.15191,NA,55.53913,NA,13.53547,NA,8.28667,38.61904,NA,47.13193,NA,NA,"SC",18,"CW",0.1,421.5178299,38.41167,-120.73583,2021
"124",45,3,"046-P1-E6-099.D","NA","P1-E-06","D3",28,"induced",NA,91.68644,NA,27.81282,320.35785,NA,335.88495,NA,20.88614,NA,8.92481,9.24902,11.84902,455.65958,NA,62.4575,NA,11.90158,"LC",10,"CW",0.37,1362.3,39.31897,-120.65744,2022
"125",47,3,"048-P1-G6-101.D","NA","P1-G-06","D3",29,"induced",NA,136.20453,NA,NA,557.86572,84.69944,NA,NA,17.09467,NA,NA,NA,24.54576,66.66208,16.60269,42.10771,NA,NA,"SQ2",15,"CW",0.21,1934.45122,36.66557,-118.83543,2021
