"","Population","treatment","mf","X3MSO","OHAlkenyl","X4MSO","Allyl","X5MSO","Butenyl","X3MT","MSOO","OHI3M","X4MT","Flavonol16","I3M","Flavonol17","Flavonol18","Indole","totalaliphatic","totalindole","totalGSL","logindoles"
"75","LV1","CW",9,0,0,42.09427,19.80552,0,807.17084,0,47.87488,66.852935,16.55035,30.5792,34.62925,54.00973,40.72995,4.337215,933.49586,105.8194,1039.31526,2.0200019285295
"76","LV1","CW",10,0,54.947185,73.141135,11.79222,6.05955,683.5412,0,52.480505,13.180015,7.186265,31.59237,47.373925,18.551665,62.66341,43.59454,889.14806,104.14848,993.29654,2.01516864255754
"77","LV1","CW",13,10.597775,0,49.655255,246.40263,0,1328.91592,74.344225,11.01953,72.648195,30.587015,31.56794,105.5012,58.461685,127.12084,8.244135,1751.52235,186.39353,1937.91588,2.19264072841983
"78","LV1","CW",14,0,0,39.4657,24.865,0,1640.246765,0,54.050345,35.643,34.294655,31.642855,93.90675,63.039475,95.97398,21.425795,1792.922465,150.975545,1943.89801,2.17658801246875
"79","LV1","CW",19,55.643505,0,37.56245,119.7314,0,565.58541,17.855645,54.773425,7.383155,6.558705,22.140045,18.482685,6.29584,70.7731,24.66809,857.71054,50.53393,908.24447,1.69102756333092
"80","LV2","C",2,0,60.65445,12.435915,12.386305,28.995025,736.921765,0,0,0,0,19.482675,34.00502,5.803015,27.99042,49.650265,851.39346,83.655285,935.048745,1.85943064454368
"81","LV2","C",4,0,0,16.15219,0,0,222.50514,0,0,0,26.86708,9.65696,191.46414,0,73.65251,33.36773,265.52441,224.83187,490.35628,2.35185787266264
"82","LV2","C",5,12.619305,0,33.601805,18.486695,0,400.51278,19.95603,33.77772,0,25.73667,28.835145,8.956735,23.92679,67.376185,7.44614,544.691005,16.402875,561.09388,1.08167128126134
"83","LV2","C",8,0,0,72.229565,35.65684,7.42696,969.94211,29.491805,35.171235,0,8.453845,24.46117,16.06383,5.508995,17.521395,21.12177,1158.37236,37.1856,1195.55796,1.54623363984902
"84","LV2","C",9,0,0,0,19.4637,0,880.19733,0,0,0,0,9.70947,31.84776,39.89124,42.34639,47.94014,899.66103,79.7879,979.44893,1.90193703468815
"85","LV2","C",10,0,0,86.14952,410.063615,29.64451,1281.410035,0,104.650885,0,14.213275,11.020425,36.452395,5.61328,46.03522,37.494765,1926.13184,73.94716,2000.079,1.86089608137215
"86","LV2","CW",2,0,93.3841,29.736405,7.36923,16.30261,640.470245,0,12.23259,5.843355,0,14.495295,50.97339,10.171125,33.09919,18.116015,799.49518,74.93276,874.42794,1.85373621774252
"87","LV2","CW",4,0,0,54.443845,29.289355,17.963255,1322.82782,0,93.979075,14.076825,12.298115,26.549325,230.296805,0,37.337715,8.69168,1530.801465,253.06531,1783.866775,2.25081714313964
"88","LV2","CW",5,0,0,14.73717,29.81849,22.57539,1291.36865,0,82.2834,22.08462,0,16.93958,138.07335,0,26.43872,9.51271,1440.7831,169.67068,1610.45378,2.22960680039454
"89","LV2","CW",8,0,0,18.98049,69.888245,12.74967,1291.814665,45.493605,8.670925,20.453055,11.80719,42.559995,30.375015,0,119.771275,16.56926,1459.40479,67.39733,1526.80212,1.52580772778625
"90","LV2","CW",9,81.34578,0,38.187795,506.03446,0,484.453615,15.34881,71.640105,0,46.53925,23.346565,255.63559,5.016475,104.6146,14.303135,1243.549815,269.938725,1513.48854,2.33205033546271
"91","LV2","CW",10,0,0,13.56444,35.519345,0,397.747375,9.93582,20.08857,0,12.989235,16.388745,72.68103,0,35.607695,28.99908,489.844785,101.68011,591.524895,1.99241340815813
"92","MtSH","C",9,0,0,0,12.11329,0,401.80206,0,6.55912,0,10.7907,14.64653,0,0,12.73926,5.05331,431.26517,5.05331,436.31848,0.703575941254214
"93","MtSH","CW",9,0,0,9.196845,18.928825,0,470.50062,13.24422,0,0,4.289425,24.37985,38.97515,0,24.86037,36.383885,516.159935,75.359035,591.51897,1.77033265933568
"94","RB","C",1,17.10553,0,34.694785,65.523965,0,589.17086,13.004685,30.92146,0,7.293035,15.443,16.83795,47.24177,53.093965,14.608665,757.71432,31.446615,789.160935,1.43988366078097
"95","RB","C",12,40.12482,0,22.687645,662.23669,0,109.003215,19.81597,0,0,10.36203,11.296825,184.109135,0,46.02346,25.85184,864.23037,209.960975,1074.191345,2.21893866579244
"96","RB","C",20,74.48711,0,0,46.47591,0,22.2262,66.21845,0,0,0,7.85904,50.15068,0,15.1502,0,209.40767,50.15068,259.55835,1.70027682605525
"97","RB","CW",1,26.38063,0,18.50758,36.65122,0,67.4339,0,0,6.25629,0,0,39.69078,0,17.7727,9.97253,148.97333,55.9196,204.89293,1.74756405618516
"98","RB","CW",12,24.434755,0,15.15684,96.67511,6.73585,268.45463,12.063455,0,4.88329,0,12.05615,169.17997,0,51.32043,36.3345,423.52064,210.39776,633.9184,2.25010523735281
"99","RB","CW",20,47.78919,0,0,150.81149,0,51.88091,58.44532,0,19.38067,0,10.94036,10.09426,0,20.81754,0,308.92691,29.47493,338.40184,1.46945278236255
"100","SC","C",7,26.043795,0,0,737.362445,7.9125,13.946055,12.75649,0,0,0,13.65088,13.66844,0,45.258015,27.132785,798.021285,40.801225,838.82251,1.61064915626602
"101","SC","C",18,73.735615,0,0,385.666455,0,8.409405,65.82739,0,0,61.07989,18.417385,16.136005,7.856795,29.604095,17.830765,594.718755,33.96677,628.685525,1.43447282730298
"102","SC","C",19,19.28954,0,0,495.041775,0,11.35335,51.91759,0,0,0,9.54595,8.96048,0,26.468225,65.114635,577.602255,74.075115,651.67737,1.85609081425539
"103","SC","C",20,45.531905,0,0,418.858915,0,0,39.42318,0,0,0,10.79721,23.62215,0,13.61848,6.54662,503.814,30.16877,533.98277,1.47955710819033
"104","SC","CW",7,73.33317,0,0,416.96124,0,23.42427,44.18832,0,22.79854,0,6.89831,107.3946,6.83632,31.03981,20.023125,557.907,150.216265,708.123265,2.14540930332696
"105","SC","CW",18,45.15047,0,0,1105.977965,0,24.49741,47.711465,0,6.767735,7.316015,8.27618,37.423385,0,33.358885,6.204655,1230.653325,50.395775,1281.0491,1.70212950292358
"106","SC","CW",19,84.52549,0,0,705.7106,0,39.20021,68.832245,0,22.07293,4.52264,14.54254,43.733015,6.655065,29.41169,4.4249,902.791185,70.230845,973.02203,1.67266069181909
"107","SC","CW",20,49.37649,30.79262,0,427.9448,0,460.02368,48.42443,0,23.868375,6.13023,16.59088,47.9857,3.2669,36.1909,5.1569,1022.69225,77.010975,1099.703225,1.81345936520177
"108","SQ1","C",2,14.278125,44.654605,0,710.311755,22.290325,338.686515,10.930135,26.52516,0,4.23319,19.716215,72.824145,0,32.621275,6.76124,1171.90981,79.585385,1251.495195,1.89850963475497
"109","SQ1","C",3,0,0,0,15.55797,0,1211.64844,0,0,0,12.60147,21.25885,64.34612,12.6978,51.1538,12.57433,1239.80788,76.92045,1316.72833,1.88604181628336
"110","SQ1","C",5,20.21799,0,0,926.49908,32.12833,15.49473,0,0,0,0,23.98918,23.43798,0,34.92746,0,994.34013,23.43798,1017.77811,1.36992017933171
"111","SQ1","C",7,0,0,0,885.31683,25.44355,10.32493,0,8.46953,0,0,11.86886,17.68009,0,17.72002,56.28209,929.55484,73.96218,1003.51702,1.86900970329862
"112","SQ1","CW",2,0,0,0,536.27502,0,0,0,0,14.36691,0,9.96828,112.18395,0,21.18388,5.08049,536.27502,131.63135,667.90637,2.11935933540677
"113","SQ1","CW",3,0,0,32.568145,0,17.646215,439.52457,0,18.094965,10.404395,0,29.137135,28.4894,4.543495,25.5807,11.004245,507.833895,49.89804,557.731935,1.54510730076963
"114","SQ1","CW",5,40.03468,0,0,416.20627,0,0,45.6015,0,0,0,11.50203,19.64931,0,76.62127,46.97392,501.84245,66.62323,568.46568,1.82362568415179
"115","SQ1","CW",7,24.56913,0,0,1030.09973,24.66764,10.05993,25.39242,0,0,0,9.49866,271.70328,0,24.44686,13.68915,1114.78885,285.39243,1400.18128,2.45544244932232
"116","SQ2","C",9,13.74598,0,0,1635.01245,80.51949,18.9896,7.17208,18.96675,14.12206,11.20803,13.6157,212.12047,0,21.82156,0,1785.61438,226.24253,2011.85691,2.35457424872437
"117","SQ2","C",12,26.399755,0,0,851.91806,51.85433,17.063495,14.536085,11.611725,0,11.787415,24.298535,68.220915,0,38.09267,3.351495,985.170865,71.57241,1056.743275,1.58343579286732
"118","SQ2","C",14,65.291405,0,42.420515,633.601745,22.50662,54.820195,0,26.94216,2.93634,0,16.9676,195.66465,0,34.39073,14.15545,845.58264,212.75644,1058.33908,2.32782082078054
"119","SQ2","C",15,20.800295,0,0,768.2238,17.494545,6.50091,0,18.625815,0,4.35753,5.343245,169.17188,0,23.426255,26.135345,836.002895,195.307225,1031.31012,2.22098573990951
"120","SQ2","C",17,0,0,6.742925,23.752735,38.776925,1080.161835,0,56.10705,0,7.01755,39.55716,23.439715,51.358965,63.980155,50.77152,1212.55902,74.211235,1286.770255,1.80845432813126
"121","SQ2","C",18,20.348265,0,0,704.78015,0,0,8.91581,22.979585,0,0,28.865385,56.48317,0,38.363935,28.814195,757.02381,85.297365,842.321175,1.92957535789845
"122","SQ2","C",20,49.72086,0,0,1104.99774,35.930205,16.498995,4.25588,12.87038,8.733175,8.112095,6.748245,298.127655,8.30303,21.56209,6.811285,1232.386155,313.672115,1546.05827,2.33951108439554
