"","Control_3MSO_5.2","Control_OH-Alkenyl_6","Control_4MSO_7.1","Control_Allyl_7.4","Control_5MSO_10.2","Control_Butenyl_12.1","Control_Junk_13","Control_3MT_13.6","Control_MSOO_13.8","Control_OH I3M_15.1","Control_4MT _15.5","Control_Flavonol_16.1","Control_I3M_16.7","Control_Flavonol_17.5","Control_Flavonol_18.5","Control_Junk_18.7","Control_Indole_18.8","Population","mf","treatment","biomass","Elevation","Lat","Long","Seed.year","totalGSL"
"61",NA,NA,87.97322,14.28337,26.54496,1524.78894,9.71083,NA,120.92133,35.55731,13.51169,11.52476,436.35419,65.77213,100.99244,NA,8.24176,"LV1",9,"C",0.21,2593.416641,40.47471,-121.50486,2018,2446.4661
"63",NA,129.10197,NA,NA,14.13412,630.24976,NA,NA,NA,NA,NA,10.64434,69.08279,NA,9.18423,NA,6.63065,"WL2",1,"C",0.15,2020.115818,38.8263,-120.25242,2020,869.02786
"64",NA,NA,66.41347,NA,11.26652,828.46246,NA,NA,83.92535,NA,16.28141,18.03131,28.83213,NA,9.97219,NA,8.29109,"LV1",10,"C",0.15,2593.416641,40.47471,-121.50486,2018,1071.47593
"67",NA,47.43738,NA,12.07771,NA,1079.81763,7.76415,NA,NA,NA,NA,11.09161,42.06924,NA,24.07632,NA,54.38713,"WL1",9,"C",0.31,1613.837245,38.78608,-120.2143,2020,1270.95702
"71",NA,77.91547,37.96326,NA,NA,430.99686,NA,NA,NA,NA,NA,9.88404,34.14459,NA,17.81812,NA,5.97904,"WL2",11,"C",0.14,2020.115818,38.8263,-120.25242,2020,614.70138
"74",84.9453,NA,NA,285.96344,NA,NA,NA,30.68962,13.16891,NA,NA,NA,28.18068,NA,14.31707,NA,8.54697,"IH",1,"C",0.23,454.1298385,39.09332,-120.92114,2020,465.81199
"75",NA,NA,50.63502,NA,26.78605,783.45776,8.28171,NA,NA,NA,10.38745,87.59834,66.64619,30.67146,77.24911,NA,7.03281,"CP2",2,"C",0.44,2244.132886,38.66169,-120.13065,2020,1140.46419
"79",NA,NA,15.51735,20.10172,NA,965.86273,NA,NA,51.37709,NA,12.71319,30.42442,10.2972,NA,17.68689,NA,38.84786,"LV1",19,"C",0.13,2593.416641,40.47471,-121.50486,2018,1162.82845
"80",NA,NA,NA,16.40797,NA,1225.77209,10.50758,NA,NA,NA,11.94934,11.22456,163.07335,NA,9.35515,NA,8.65835,"YO10",5,"C",0.31,NA,NA,NA,NA,1446.44081
"83",22.9187,NA,20.84437,131.85109,NA,281.13412,NA,37.85934,NA,NA,6.81823,18.69697,113.99685,NA,10.24913,NA,6.95546,"CALO",3,"C",0.17,1117.6,39.19494,-120.77055,2022,651.32426
"84",NA,NA,24.4508,33.77044,NA,253.47589,NA,13.52989,10.89505,NA,13.57987,28.8496,163.87697,NA,27.28432,NA,9.06734,"CALO",14,"C",0.24,1117.6,39.19494,-120.77055,2022,578.78017
"85",41.60059,NA,NA,1040.27051,14.28795,13.00182,NA,NA,30.44977,NA,8.71506,10.68649,288.61102,NA,23.39476,5.86691,9.05495,"SQ2",15,"C",0.18,1934.45122,36.66557,-118.83543,2021,1480.07292
"86",40.69653,NA,NA,891.06561,NA,NA,NA,NA,36.00873,NA,NA,49.45297,68.48183,NA,60.79624,NA,10.07508,"SQ2",18,"C",0.4,1934.45122,36.66557,-118.83543,2021,1156.57699
"88",NA,73.22379,NA,NA,NA,469.9339,NA,NA,NA,NA,NA,28.35636,30.21982,NA,15.17581,NA,9.75975,"WL2",12,"C",0.27,2020.115818,38.8263,-120.25242,2020,626.66943
"93",24.65239,NA,20.84207,87.21907,NA,262.54288,NA,35.85295,NA,NA,15.52035,21.17782,310.14529,NA,45.58189,NA,10.45931,"CALO",1,"C",0.16,1117.6,39.19494,-120.77055,2022,833.99402
"94",NA,NA,54.54426,NA,26.16615,634.88953,NA,NA,NA,NA,NA,19.43993,166.84341,NA,20.13812,NA,10.19923,"CP2",15,"C",0.26,2244.132886,38.66169,-120.13065,2020,932.22063
"95",NA,NA,19.37794,NA,18.76945,650.31049,NA,NA,NA,NA,NA,39.93435,53.10326,10.80022,33.36295,NA,7.86833,"DPR",3,"C",0.57,1018.591893,39.22846,-120.81518,2020,833.52699
"97",NA,32.92039,17.41817,NA,NA,419.48306,NA,NA,NA,NA,NA,9.69219,13.25102,NA,6.70989,NA,10.37147,"WL2",10,"C",0.21,2020.115818,38.8263,-120.25242,2020,509.84619
"99",20.67509,NA,14.80172,47.24062,NA,72.82439,NA,NA,NA,NA,NA,13.57413,108.6055,NA,18.15023,NA,7.83968,"TFC",3,"C",0.27,1085,39.42772,-120.93623,2021,303.71136
