"","Population","treatment","compound type","compound","value"
"264","LC","CW","GSL","totalindole",406.403139
"265","LC","CW","GSL","totalGSL",1190.978278
"266","LC","CW","GSL","logindoles",2.43236708214665
"267","LV1","C","GSL","X3MSO",2.073415
"268","LV1","C","GSL","OHAlkenyl",0
"269","LV1","C","GSL","X4MSO",77.4559258333333
"270","LV1","C","GSL","Allyl",48.3160533333333
"271","LV1","C","GSL","X5MSO",14.5163508333333
"272","LV1","C","GSL","Butenyl",1101.01833583333
"273","LV1","C","GSL","X3MT",12.0909891666667
"274","LV1","C","GSL","MSOO",100.3999425
"275","LV1","C","GSL","OHI3M",3.47876916666667
"276","LV1","C","GSL","X4MT",25.8542858333333
"277","LV1","C","GSL","Flavonol16",25.2707083333333
"278","LV1","C","GSL","I3M",73.4331641666667
"279","LV1","C","GSL","Flavonol17",15.5235416666667
"280","LV1","C","GSL","Flavonol18",42.2567058333333
"281","LV1","C","GSL","Indole",22.5302866666667
"282","LV1","C","GSL","totalaliphatic",1381.72529833333
"283","LV1","C","GSL","totalindole",99.44222
"284","LV1","C","GSL","totalGSL",1481.16751833333
"285","LV1","C","GSL","logindoles",1.81177542111902
"286","LV1","CW","GSL","X3MSO",13.248256
"287","LV1","CW","GSL","OHAlkenyl",10.989437
"288","LV1","CW","GSL","X4MSO",48.383762
"289","LV1","CW","GSL","Allyl",84.519354
"290","LV1","CW","GSL","X5MSO",1.21191
"291","LV1","CW","GSL","Butenyl",1005.092027
"292","LV1","CW","GSL","X3MT",18.439974
"293","LV1","CW","GSL","MSOO",44.039737
"294","LV1","CW","GSL","OHI3M",39.14146
"295","LV1","CW","GSL","X4MT",19.035398
"296","LV1","CW","GSL","Flavonol16",29.504482
"297","LV1","CW","GSL","I3M",59.978762
"298","LV1","CW","GSL","Flavonol17",40.071679
"299","LV1","CW","GSL","Flavonol18",79.452256
"300","LV1","CW","GSL","Indole",20.453955
"301","LV1","CW","GSL","totalaliphatic",1244.959855
"302","LV1","CW","GSL","totalindole",119.574177
"303","LV1","CW","GSL","totalGSL",1364.534032
"304","LV1","CW","GSL","logindoles",2.01908537506131
"305","LV2","C","GSL","X3MSO",2.1032175
"306","LV2","C","GSL","OHAlkenyl",10.109075
"307","LV2","C","GSL","X4MSO",36.7614991666667
"308","LV2","C","GSL","Allyl",82.6761925
"309","LV2","C","GSL","X5MSO",11.0110825
"310","LV2","C","GSL","Butenyl",748.581526666667
"311","LV2","C","GSL","X3MT",8.24130583333333
"312","LV2","C","GSL","MSOO",28.9333066666667
"313","LV2","C","GSL","OHI3M",0
"314","LV2","C","GSL","X4MT",12.545145
"315","LV2","C","GSL","Flavonol16",17.1943075
"316","LV2","C","GSL","I3M",53.1316466666667
"317","LV2","C","GSL","Flavonol17",13.45722
"318","LV2","C","GSL","Flavonol18",45.8203533333333
"319","LV2","C","GSL","Indole",32.8368016666667
"320","LV2","C","GSL","totalaliphatic",940.962350833333
"321","LV2","C","GSL","totalindole",85.9684483333333
"322","LV2","C","GSL","totalGSL",1026.93079916667
"323","LV2","C","GSL","logindoles",1.7670044257295
"324","LV2","CW","GSL","X3MSO",13.55763
"325","LV2","CW","GSL","OHAlkenyl",15.5640166666667
"326","LV2","CW","GSL","X4MSO",28.2750241666667
"327","LV2","CW","GSL","Allyl",112.986520833333
"328","LV2","CW","GSL","X5MSO",11.5984875
"329","LV2","CW","GSL","Butenyl",904.780395
"330","LV2","CW","GSL","X3MT",11.7963725
"331","LV2","CW","GSL","MSOO",48.1491108333333
"332","LV2","CW","GSL","OHI3M",10.4096425
"333","LV2","CW","GSL","X4MT",13.938965
"334","LV2","CW","GSL","Flavonol16",23.3799175
"335","LV2","CW","GSL","I3M",129.67253
"336","LV2","CW","GSL","Flavonol17",2.53126666666667
"337","LV2","CW","GSL","Flavonol18",59.4781991666667
"338","LV2","CW","GSL","Indole",16.03198
"339","LV2","CW","GSL","totalaliphatic",1160.6465225
"340","LV2","CW","GSL","totalindole",156.1141525
"341","LV2","CW","GSL","totalGSL",1316.760675
"342","LV2","CW","GSL","logindoles",2.0307386054473
"343","MtSH","C","GSL","X3MSO",0
"344","MtSH","C","GSL","OHAlkenyl",0
"345","MtSH","C","GSL","X4MSO",0
"346","MtSH","C","GSL","Allyl",12.11329
"347","MtSH","C","GSL","X5MSO",0
"348","MtSH","C","GSL","Butenyl",401.80206
"349","MtSH","C","GSL","X3MT",0
"350","MtSH","C","GSL","MSOO",6.55912
"351","MtSH","C","GSL","OHI3M",0
"352","MtSH","C","GSL","X4MT",10.7907
"353","MtSH","C","GSL","Flavonol16",14.64653
"354","MtSH","C","GSL","I3M",0
"355","MtSH","C","GSL","Flavonol17",0
"356","MtSH","C","GSL","Flavonol18",12.73926
"357","MtSH","C","GSL","Indole",5.05331
"358","MtSH","C","GSL","totalaliphatic",431.26517
"359","MtSH","C","GSL","totalindole",5.05331
"360","MtSH","C","GSL","totalGSL",436.31848
"361","MtSH","C","GSL","logindoles",0.703575941254214
"362","MtSH","CW","GSL","X3MSO",0
"363","MtSH","CW","GSL","OHAlkenyl",0
"364","MtSH","CW","GSL","X4MSO",9.196845
"365","MtSH","CW","GSL","Allyl",18.928825
"366","MtSH","CW","GSL","X5MSO",0
"367","MtSH","CW","GSL","Butenyl",470.50062
"368","MtSH","CW","GSL","X3MT",13.24422
"369","MtSH","CW","GSL","MSOO",0
"370","MtSH","CW","GSL","OHI3M",0
"371","MtSH","CW","GSL","X4MT",4.289425
"372","MtSH","CW","GSL","Flavonol16",24.37985
"373","MtSH","CW","GSL","I3M",38.97515
"374","MtSH","CW","GSL","Flavonol17",0
"375","MtSH","CW","GSL","Flavonol18",24.86037
"376","MtSH","CW","GSL","Indole",36.383885
"377","MtSH","CW","GSL","totalaliphatic",516.159935
"378","MtSH","CW","GSL","totalindole",75.359035
"379","MtSH","CW","GSL","totalGSL",591.51897
