"","Population","mf","Elevation","X3MSO_C","X3MSO_CW","OHAlkenyl_C","OHAlkenyl_CW","X4MSO_C","X4MSO_CW","Allyl_C","Allyl_CW","X5MSO_C","X5MSO_CW","Butenyl_C","Butenyl_CW","X3MT_C","X3MT_CW","MSOO_C","MSOO_CW","OHI3M_C","OHI3M_CW","X4MT_C","X4MT_CW","I3M_C","I3M_CW","Indole_C","Indole_CW","totalaliphatic_C","totalaliphatic_CW","totalindole_C","totalindole_CW","totalGSL_C","totalGSL_CW"
"47","RB",1,787,17.10553,26.38063,0,0,34.694785,18.50758,65.523965,36.65122,0,0,589.17086,67.4339,13.004685,0,30.92146,0,0,6.25629,7.293035,0,16.83795,39.69078,14.608665,9.97253,757.71432,148.97333,31.446615,55.9196,789.160935,204.89293
"48","RB",12,787,40.12482,24.434755,0,0,22.687645,15.15684,662.23669,96.67511,0,6.73585,109.003215,268.45463,19.81597,12.063455,0,0,0,4.88329,10.36203,0,184.109135,169.17997,25.85184,36.3345,864.23037,423.52064,209.960975,210.39776,1074.191345,633.9184
"49","RB",20,787,74.48711,47.78919,0,0,0,0,46.47591,150.81149,0,0,22.2262,51.88091,66.21845,58.44532,0,0,0,19.38067,0,0,50.15068,10.09426,0,0,209.40767,308.92691,50.15068,29.47493,259.55835,338.40184
"50","SC",7,421.5178299,26.043795,73.33317,0,0,0,0,737.362445,416.96124,7.9125,0,13.946055,23.42427,12.75649,44.18832,0,0,0,22.79854,0,0,13.66844,107.3946,27.132785,20.023125,798.021285,557.907,40.801225,150.216265,838.82251,708.123265
"51","SC",18,421.5178299,73.735615,45.15047,0,0,0,0,385.666455,1105.977965,0,0,8.409405,24.49741,65.82739,47.711465,0,0,0,6.767735,61.07989,7.316015,16.136005,37.423385,17.830765,6.204655,594.718755,1230.653325,33.96677,50.395775,628.685525,1281.0491
"52","SC",19,421.5178299,19.28954,84.52549,0,0,0,0,495.041775,705.7106,0,0,11.35335,39.20021,51.91759,68.832245,0,0,0,22.07293,0,4.52264,8.96048,43.733015,65.114635,4.4249,577.602255,902.791185,74.075115,70.230845,651.67737,973.02203
"53","SC",20,421.5178299,45.531905,49.37649,0,30.79262,0,0,418.858915,427.9448,0,0,0,460.02368,39.42318,48.42443,0,0,0,23.868375,0,6.13023,23.62215,47.9857,6.54662,5.1569,503.814,1022.69225,30.16877,77.010975,533.98277,1099.703225
"54","SQ1",2,1921.036585,14.278125,0,44.654605,0,0,0,710.311755,536.27502,22.290325,0,338.686515,0,10.930135,0,26.52516,0,0,14.36691,4.23319,0,72.824145,112.18395,6.76124,5.08049,1171.90981,536.27502,79.585385,131.63135,1251.495195,667.90637
"55","SQ1",3,1921.036585,0,0,0,0,0,32.568145,15.55797,0,0,17.646215,1211.64844,439.52457,0,0,0,18.094965,0,10.404395,12.60147,0,64.34612,28.4894,12.57433,11.004245,1239.80788,507.833895,76.92045,49.89804,1316.72833,557.731935
"56","SQ1",5,1921.036585,20.21799,40.03468,0,0,0,0,926.49908,416.20627,32.12833,0,15.49473,0,0,45.6015,0,0,0,0,0,0,23.43798,19.64931,0,46.97392,994.34013,501.84245,23.43798,66.62323,1017.77811,568.46568
"57","SQ1",7,1921.036585,0,24.56913,0,0,0,0,885.31683,1030.09973,25.44355,24.66764,10.32493,10.05993,0,25.39242,8.46953,0,0,0,0,0,17.68009,271.70328,56.28209,13.68915,929.55484,1114.78885,73.96218,285.39243,1003.51702,1400.18128
"58","SQ2",9,1934.45122,13.74598,19.69787,0,0,0,0,1635.01245,748.843445,80.51949,14.67161,18.9896,23.01941,7.17208,13.407805,18.96675,4.463555,14.12206,0,11.20803,3.95875,212.12047,11.476135,0,8.446055,1785.61438,828.062445,226.24253,19.92219,2011.85691,847.984635
"59","SQ2",12,1934.45122,26.399755,14.696405,0,19.136145,0,8.264185,851.91806,307.91026,51.85433,17.122115,17.063495,226.246825,14.536085,0,11.611725,0,0,7.215185,11.787415,10.122155,68.220915,122.91984,3.351495,8.960245,985.170865,603.49809,71.57241,139.09527,1056.743275,742.59336
"60","SQ2",14,1934.45122,65.291405,47.003935,0,0,42.420515,0,633.601745,1085.090425,22.50662,33.538575,54.820195,13.501085,0,4.86088,26.94216,11.819575,2.93634,0,0,0,195.66465,33.5825,14.15545,11.51321,845.58264,1195.814475,212.75644,45.09571,1058.33908,1240.910185
"61","SQ2",15,1934.45122,20.800295,76.489755,0,0,0,0,768.2238,730.393735,17.494545,42.34972,6.50091,0,0,8.547335,18.625815,7.632685,0,0,4.35753,0,169.17188,111.737855,26.135345,4.836685,836.002895,865.41323,195.307225,116.57454,1031.31012,981.98777
"62","SQ2",17,1934.45122,0,38.98315,0,0,6.742925,0,23.752735,97.11104,38.776925,0,1080.161835,52.45895,0,39.98735,56.10705,0,0,0,7.01755,0,23.439715,16.04176,50.77152,56.08852,1212.55902,228.54049,74.211235,72.13028,1286.770255,300.67077
"63","SQ2",18,1934.45122,20.348265,0,0,0,0,0,704.78015,741.13998,0,0,0,77.507925,8.91581,21.782065,22.979585,13.29156,0,8.20543,0,3.4214,56.48317,273.84844,28.814195,4.50103,757.02381,857.14293,85.297365,286.5549,842.321175,1143.69783
"64","SQ2",20,1934.45122,49.72086,16.17048,0,28.117365,0,0,1104.99774,1296.835235,35.930205,26.40389,16.498995,146.929295,4.25588,3.93886,12.87038,22.45608,8.733175,38.814515,8.112095,10.00916,298.127655,258.72312,6.811285,8.326975,1232.386155,1550.860365,313.672115,305.86461,1546.05827,1856.724975
"65","TFC",2,1085,45.169345,36.46841,0,0,39.04708,19.745235,53.13191,153.865265,0,0,140.954505,206.461685,10.8401,16.504505,0,17.576735,0,94.38443,0,0,109.503865,76.066975,30.45387,5.205475,289.14294,450.621835,139.957735,175.65688,429.100675,626.278715
"66","TFC",3,1085,64.539625,0,0,0,7.40086,27.81493,471.9705,35.73802,10.429955,0,44.62031,387.09464,0,15.39573,0,0,0,0,5.617715,25.14973,102.208135,268.4971,9.68093,27.0403,604.578965,491.19305,111.889065,295.5374,716.46803,786.73045
"67","TM2",3,379.1526973,0,0,0,0,66.72554,23.92521,0,22.53256,0,0,572.05267,252.46712,0,21.81034,0,0,0,0,0,45.06731,609.94281,0,22.00725,9.71622,638.77821,365.80254,631.95006,9.71622,1270.72827,375.51876
