Date,Time,Unit,Value
12/10/21,7:30:00,C,24
12/10/21,8:30:00,C,24
12/10/21,9:30:00,C,24
12/10/21,10:30:00,C,24
12/10/21,11:30:00,C,25
12/11/21,12:30:00,C,25
12/11/21,1:30:00,C,25
12/11/21,2:30:00,C,25
12/11/21,3:30:00,C,25
12/11/21,4:30:00,C,25
12/11/21,5:30:00,C,25
12/11/21,6:30:00,C,25
12/11/21,7:30:00,C,25
12/11/21,8:30:00,C,25
12/11/21,9:30:00,C,25
12/11/21,10:30:00,C,24.5
12/11/21,11:30:00,C,24.5
12/11/21,12:30:00,C,24.5
12/11/21,1:30:00,C,25
12/11/21,2:30:00,C,24.5
12/11/21,3:30:00,C,24.5
12/11/21,4:30:00,C,25
12/11/21,5:30:00,C,24.5
12/11/21,6:30:00,C,24
12/11/21,7:30:00,C,24
12/11/21,8:30:00,C,24
12/11/21,9:30:00,C,24
12/11/21,10:30:00,C,24
12/11/21,11:30:00,C,24.5
12/12/21,12:30:00,C,24.5
12/12/21,1:30:00,C,24.5
12/12/21,2:30:00,C,24.5
12/12/21,3:30:00,C,24.5
12/12/21,4:30:00,C,24.5
12/12/21,5:30:00,C,24.5
12/12/21,6:30:00,C,25
12/12/21,7:30:00,C,24.5
12/12/21,8:30:00,C,25
12/12/21,9:30:00,C,24.5
12/12/21,10:30:00,C,24.5
12/12/21,11:30:00,C,25
12/12/21,12:30:00,C,24.5
12/12/21,1:30:00,C,25
12/12/21,2:30:00,C,24.5
12/12/21,3:30:00,C,25
12/12/21,4:30:00,C,25
12/12/21,5:30:00,C,24.5
12/12/21,6:30:00,C,24
12/12/21,7:30:00,C,24
12/12/21,8:30:00,C,24
12/12/21,9:30:00,C,24
12/12/21,10:30:00,C,24
12/12/21,11:30:00,C,24.5
12/13/21,12:30:00,C,24.5
12/13/21,1:30:00,C,24.5
12/13/21,2:30:00,C,25
12/13/21,3:30:00,C,24.5
12/13/21,4:30:00,C,25
12/13/21,5:30:00,C,24.5
12/13/21,6:30:00,C,25
12/13/21,7:30:00,C,24.5
12/13/21,8:30:00,C,24.5
12/13/21,9:30:00,C,25
