"","Population","treatment","biomass","Rack","Location","mf","rep","leaf_type","X3MSO_5.2","OH.Alkenyl_6","X4MSO_7.1","Allyl_7.4","X5MSO_10.2","Butenyl_12.1","X3MT_13.6","MSOO_13.8","OH.I3M_15.1","X4MT._15.5","Flavonol_16.1","I3M_16.7","Flavonol_17.5","Flavonol_18.5","Indole_18.8","key"
"120","LV1","C",0.08,"D3",30,14,1,"induced",0,0,16.51841,16.69987,0,966.85864,62.62608,0,0,0,14.34345,10.0893,0,33.98424,36.38832,"D3 30"
"121","LV1","C",0.31,"D6",2,14,2,"induced",0,0,22.95923,49.98322,0,919.56348,0,62.8006,0,14.46367,26.98479,0,81.51327,97.9767,48.89291,"D6 2"
"122","LV1","CW",0.18,"D6",40,14,1,"induced",0,0,17.98068,24.14846,0,1900.8396,0,41.81976,51.81779,50.54245,30.94864,48.57209,43.03247,79.31757,35.0266,"D6 40"
"123","LV1","CW",0.18,"D2",43,14,2,"induced",0,0,60.95072,25.58154,0,1379.65393,0,66.28093,19.46821,18.04686,32.33707,139.24141,83.04648,112.63039,7.82499,"D2 43"
"124","LV1","C",0.3,"D1",37,19,1,"induced",0,0,89.97781,25.20755,20.9144,1295.37439,0,128.17426,0,11.76367,9.20591,31.49908,7.56721,19.88856,6.39655,"D1 37"
"125","LV1","C",0.13,"D2",31,19,2,"induced",0,0,15.51735,20.10172,0,965.86273,0,51.37709,0,12.71319,30.42442,10.2972,0,17.68689,38.84786,"D2 31"
"126","LV1","CW",0.15,"D5",34,19,1,"induced",111.28701,0,0,222.28719,0,20.73967,35.71129,0,0,0,15.23293,0,0,110.98053,38.55617,"D5 34"
"127","LV1","CW",0.18,"D2",42,19,2,"induced",0,0,75.1249,17.17561,0,1110.43115,0,109.54685,14.76631,13.11741,29.04716,36.96537,12.59168,30.56567,10.78001,"D2 42"
"128","LV2","C",0.16,"D4",6,2,1,"induced",0,121.3089,24.87183,0,26.34065,507.9147,0,0,0,0,23.24371,25.65088,11.60603,27.61186,16.0059,"D4 6"
"129","LV2","C",0.25,"D5",45,2,2,"induced",0,0,0,24.77261,31.6494,965.92883,0,0,0,0,15.72164,42.35916,0,28.36898,83.29463,"D5 45"
"130","LV2","CW",0.19,"D5",11,2,1,"induced",0,186.7682,26.45994,0,32.60522,650.5661,0,0,0,0,13.29637,41.99581,20.34225,40.49522,10.21986,"D5 11"
"131","LV2","CW",0.29,"D2",9,2,2,"induced",0,0,33.01287,14.73846,0,630.37439,0,24.46518,11.68671,0,15.69422,59.95097,0,25.70316,26.01217,"D2 9"
"132","LV2","C",0.07,"D6",13,4,1,"induced",0,0,16.15219,0,0,222.50514,0,0,0,26.86708,9.65696,191.46414,0,73.65251,33.36773,"D6 13"
"133","LV2","CW",0.19,"D3",10,4,1,"induced",0,0,98.49654,33.15458,21.24043,1224.78943,0,121.0619,9.03993,15.46268,26.03828,423.74753,0,40.36076,0,"D3 10"
"134","LV2","CW",0.19,"D1",31,4,2,"induced",0,0,10.39115,25.42413,14.68608,1420.86621,0,66.89625,19.11372,9.13355,27.06037,36.84608,0,34.31467,17.38336,"D1 31"
"135","LV2","C",0.2,"D1",17,5,1,"induced",0,0,0,13.22279,0,605.31891,0,36.53088,0,0,21.08639,0,29.32444,53.28517,5.29461,"D1 17"
"136","LV2","C",0.18,"D5",2,5,2,"induced",25.23861,0,67.20361,23.7506,0,195.70665,39.91206,31.02456,0,51.47334,36.5839,17.91347,18.52914,81.4672,9.59767,"D5 2"
"137","LV2","CW",0.18,"D2",34,5,1,"induced",0,0,14.73717,29.81849,22.57539,1291.36865,0,82.2834,22.08462,0,16.93958,138.07335,0,26.43872,9.51271,"D2 34"
"138","LV2","C",0.12,"D3",36,8,1,"induced",0,0,71.87326,33.89256,0,881.16498,58.98361,0,0,0,24.87029,14.7171,0,22.42697,34.53046,"D3 36"
"139","LV2","C",0.18,"D1",46,8,2,"induced",0,0,72.58587,37.42112,14.85392,1058.71924,0,70.34247,0,16.90769,24.05205,17.41056,11.01799,12.61582,7.71308,"D1 46"
"140","LV2","CW",0.04,"D6",8,8,1,"induced",0,0,0,99.14249,0,1008.07733,8.81228,17.34185,0,23.61438,42.30326,0,0,171.38751,8.94906,"D6 8"
"141","LV2","CW",0.11,"D3",26,8,2,"induced",0,0,37.96098,40.634,25.49934,1575.552,82.17493,0,40.90611,0,42.81673,60.75003,0,68.15504,24.18946,"D3 26"
"142","LV2","C",0.14,"D4",21,9,1,"induced",0,0,0,19.4637,0,880.19733,0,0,0,0,9.70947,31.84776,39.89124,42.34639,47.94014,"D4 21"
"143","LV2","CW",0.11,"D4",27,9,1,"induced",142.31555,0,51.6772,804.13525,0,287.96729,0,143.28021,0,69.24629,37.38031,416.81073,0,108.22887,16.60418,"D4 27"
"144","LV2","CW",0.17,"D6",17,9,2,"induced",20.37601,0,24.69839,207.93367,0,680.93994,30.69762,0,0,23.83221,9.31282,94.46045,10.03295,101.00033,12.00209,"D6 17"
