Run Index,Plate,Directory,SampleName,Plate Position,Rack,Location,leaf_type,3MSO_5.2,OH-Alkenyl_6,4MSO_7.1,Allyl_7.4,5MSO_10.2,Butenyl_12.1,Junk_13,3MT_13.6,MSOO_13.8,OH I3M_15.1,4MT _15.5,Flavonol_16.1,I3M_16.7,Flavonol_17.5,Flavonol_18.5,Junk_18.7,Indole_18.8
80,6,081-P1-H10-199.D,NA,P1-H-10,,,,,1281.98438,60.26519,,40.19232,263.3924,,23.72852,18.97206,,576.71521,26.54476,,18.28728,336.51035,,30.46014
81,6,082-P1-A11-200.D,NA,P1-A-11,,,,38.91633,,,370.56046,,67.9327,,2167.7478,,,60.58025,62.71114,58.99599,,778.15924,,
82,6,083-P1-B11-201.D,NA,P1-B-11,,,,,,100.86492,607.16394,,3872.0166,25.78817,20.67044,21.78755,,88.44366,113.14111,,,861.17627,,
83,6,084-P1-C11-202.D,NA,P1-C-11,,,,,,24.78511,47.23961,28.09429,2285.17529,14.24954,,231.64531,,1594.64465,43.2375,,28.30196,356.79312,,
84,6,085-P1-D11-203.D,NA,P1-D-11,,,,,,33.48284,72.25593,,3711.91357,25.7786,74.70184,47.61789,,3498.34351,85.01007,,110.2065,543.19373,,
85,6,086-P1-E11-204.D,NA,P1-E-11,,,,,941.44037,153.27094,,53.5512,406.0361,,,,,137.53323,27.3899,,16.69254,143.37886,,
86,6,087-P1-F11-205.D,NA,P1-F-11,,,,,,92.05756,68.87082,57.08629,4606.46436,26.7556,,332.62634,28.40305,554.53241,19.66937,,24.52526,197.40677,,
87,6,088-P1-G11-206.D,NA,P1-G-11,,,,,16.93268,128.58752,,53.41091,1763.25269,12.38686,,31.62746,,932.09387,50.61656,,,247.47247,,
88,6,089-P1-H11-207.D,NA,P1-H-11,,,,,69.66362,63.16256,19.76457,39.01447,2593.07007,18.26657,57.57528,,,3977.33374,123.89483,,62.64991,620.98157,,
89,6,090-P1-A12-208.D,NA,P1-A-12,,,,97.34568,12.65602,,520.29388,,35.22282,,82.96661,,,22.70777,15.5889,,8.40921,122.56268,,
90,6,091-P1-B12-209.D,NA,P1-B-12,,,,,,154.16881,327.4541,33.26527,7753.48535,35.10181,30.48306,,62.18588,198.92053,160.89291,,31.66323,619.16339,,
91,6,092-P1-C12-210.D,NA,P1-C-12,,,,75.84791,15.54712,,902.15924,,411.13608,,360.80417,,35.30498,128.51393,72.32456,,15.03887,500.36203,,
92,6,093-P1-D12-211.D,NA,P1-D-12,,,,,,42.29652,188.45782,,5106.38672,30.56385,77.71854,,,1246.26624,121.85199,,38.33022,843.18091,,
93,6,094-P1-E12-212.D,NA,P1-E-12,,,,,,76.81364,235.63141,,5814.99072,43.12365,145.78943,,,2176.33472,66.16396,,30.40193,425.13852,,
94,6,095-P1-F12-213.D,NA,P1-F-12,,,,,,93.62249,85.85941,30.94107,5810.90771,32.12366,,,,224.65372,113.59425,,,409.42545,,
95,6,096-P1-G12-214.D,NA,P1-G-12,,,,,,35.7594,78.25733,,2593.07324,17.77354,102.22808,,,2130.28418,71.50221,,63.61205,434.15659,,
96,6,097-P1-H12-215.D,NA,P1-H-12,,,,,36.11145,160.88127,,32.60999,2534.54126,20.78893,10.00436,,40.90842,776.01599,46.42747,,33.4915,336.24454,,
97,7,098-P2-A1-216.D,NA,P2-A-01,,,,,,102.36993,102.02383,49.765,1299.89124,12.46122,9.54422,35.11654,,44.34872,12.29296,,,148.83846,,15.44627
98,7,099-P2-B1-217.D,NA,P2-B-01,,,,585.39832,49.28589,,1950.20569,,163.78374,,1119.31396,,,49.54112,23.08521,35.83205,,436.3114,,
99,7,100-P2-C1-218.D,NA,P2-C-01,,,,,,54.73172,90.42793,,5572.67529,52.66562,10.34643,15.75335,15.83143,147.32169,44.49068,,16.83922,279.00177,,34.62517
100,7,101-P2-D1-219.D,NA,P2-D-01,,,,,,150.58945,147.35771,26.60845,4206.92627,37.76369,38.64257,,,74.91377,20.59903,,,95.52076,,
101,7,102-P2-E1-220.D,NA,P2-E-01,,,,212.24919,28.61805,,2134.76294,47.56153,102.30255,,1305.96875,,12.69596,65.74326,56.232,47.35896,,449.54187,,91.76316
102,7,103-P2-F1-221.D,NA,P2-F-01,,,,,,131.50926,214.24416,46.77963,7279.06982,49.42271,,,5.84048,51.09705,60.31313,,,112.30099,,
103,7,104-P2-G1-222.D,NA,P2-G-01,,,,,49.73583,82.77692,25.84442,,170.71362,,,,,284.05267,12.79865,,,211.29277,,31.36122
104,7,105-P2-H1-223.D,NA,P2-H-01,,,,194.4519,26.54161,258.23572,962.31476,,1375.89429,,87.65017,30.21389,14.56044,100.75804,37.91637,,11.05428,162.2739,,64.09819
105,7,106-P2-A2-224.D,NA,P2-A-02,,,,14.66274,95.82037,124.27929,108.92899,7.4293,385.57788,,22.32475,,,1620.72412,35.41078,,47.51013,436.15234,,70.33948
106,7,107-P2-B2-225.D,NA,P2-B-02,,,,,,182.8743,624.0097,24.98341,4130.6416,26.29547,36.04111,,,175.84666,47.42603,,,70.84429,,
107,7,108-P2-C2-226.D,NA,P2-C-02,,,,127.63176,22.89333,,1334.83167,,36.71487,,4685.66406,,,171.13152,97.05248,136.58333,,885.28418,,
108,7,109-P2-D2-227.D,NA,P2-D-02,,,,,,18.06325,,38.70239,2423.57861,16.05772,,328.44614,,4212.77686,93.02306,,118.93419,613.00122,,
109,7,110-P2-E2-228.D,NA,P2-E-02,,,,,59.50885,27.26479,,,106.804,,,23.2262,,271.08441,27.34186,,,608.96368,,
110,7,111-P2-F2-229.D,NA,P2-F-02,,,,,32.62596,27.55461,,,98.70968,,,12.61394,,214.11839,51.7573,,,423.3024,,
111,7,112-P2-G2-230.D,NA,P2-G-02,,,,,720.03345,,120.94523,44.93866,456.56757,,,17.49377,,595.57574,46.93365,,,584.90149,,
112,7,113-P2-H2-231.D,NA,P2-H-02,,,,,175.40469,,152.26941,31.62794,553.51923,,83.16183,,,4565.89941,51.2908,,86.9956,905.6073,,
113,7,114-P2-A3-232.D,NA,P2-A-03,,,,19.69643,,22.14077,263.43799,,3885.32373,26.49438,33.66327,,,97.02845,27.61927,,,232.68361,,
114,7,115-P2-B3-233.D,NA,P2-B-03,,,,,,,31.55403,,1383.60181,12.70664,,,,325.79135,23.82229,,12.33632,170.09953,,6.93887
115,7,116-P2-C3-234.D,NA,P2-C-03,,,,,423.73169,78.82163,,70.00513,903.79077,,64.51769,,,5834.72803,130.75571,,130.75255,597.5174,,
116,7,117-P2-D3-235.D,NA,P2-D-03,,,,71.53702,16.96469,,634.09729,,16.41502,,1097.67346,24.28229,,44.78472,64.31847,34.2762,,600.05133,,54.87485
117,7,118-P2-E3-236.D,NA,P2-E-03,,,,,,16.97741,91.27785,,3968.66089,33.57918,,,,476.82013,102.99759,,23.93924,462.64389,,
118,7,119-P2-F3-237.D,NA,P2-F-03,,,,,27.22429,42.40189,,,98.49234,,,27.33737,,257.18851,128.15428,,,438.87891,,15.53459
119,7,120-P2-G3-238.D,NA,P2-G-03,,,,,,99.62236,567.85358,23.39283,6493.44189,40.43037,,,,34.22441,148.53767,,25.98425,365.26685,,
120,7,121-P2-H3-239.D,NA,P2-H-03,,,,,,,36.77254,,29.13314,,27.71396,,,19.29007,39.82824,,,467.77609,,58.11988
121,7,122-P2-A4-240.D,NA,P2-A-04,,,,,318.89764,112.40425,,37.60117,1089.27942,,,35.46112,28.89332,2782.89966,44.09713,18.20619,84.75883,337.02493,,9.52498
122,7,123-P2-B4-241.D,NA,P2-B-04,,,,47.52146,14.51982,,911.11505,,16.77907,,853.27325,,,19.41147,69.31901,34.47428,,380.80264,,
123,7,124-P2-C4-242.D,NA,P2-C-04,,,,54.76532,,,555.33008,,,,868.99927,,,29.27151,25.82579,24.92862,,490.71017,,
124,7,125-P2-D4-243.D,NA,P2-D-04,,,,,569.3924,242.14101,,34.26037,404.63046,,32.51511,,,259.27716,45.56961,9.20722,,767.0174,,
125,7,126-P2-E4-244.D,NA,P2-E-04,,,,,327.6102,51.92471,,25.2203,120.68883,,,,,1035.15405,24.92409,,21.54806,717.69537,,
126,7,127-P2-F4-245.D,NA,P2-F-04,,,,,,55.81878,,17.43662,260.82559,,,,,882.49805,78.19795,,24.52531,727.84949,,
127,7,128-P2-G4-246.D,NA,P2-G-04,,,,,264.77225,120.29123,,27.61533,291.47061,,,12.17205,,148.60379,70.69662,9.39038,,757.19287,,74.78642
128,7,129-P2-H4-247.D,NA,P2-H-04,,,,,28.05538,107.37996,681.36346,28.09997,7151.62939,42.3114,24.81898,45.27837,,332.38297,113.45119,,46.17422,272.95993,,
129,7,130-P2-A5-248.D,NA,P2-A-05,,,,,44.02981,23.32107,,,156.23323,,,,,19.3547,,112.46529,,67.49634,,20.5855
130,7,131-P2-B5-249.D,NA,P2-B-05,,,,,,99.01276,,35.57558,5197.08691,31.02951,26.73035,,,645.91467,84.83225,,28.1984,619.33606,,
131,7,132-P2-C5-250.D,NA,P2-C-05,,,,,39.29253,16.21277,,,582.56738,,,,,276.39844,54.85563,,,592.19849,,
